Gene,NM_ID,S0_Ms1-10,S0_Ms1-7,S0_Ms1-8,S0_Ms1-9,S0_Ms1-5,S2_Ms2-4,S2_Ms2-6,S2_Ms2-8,S2_Ms2-10,S2_Ms2-7,S5_Ms3-4,S5_Ms3-3,S5_Ms3-7,S5_Ms3-8,S5_Ms3-10,S8_Ms4-1,S8_Ms4-2,S8_Ms4-3,S8_Ms4-4,S8_Ms4-6,S12_Ms5-1,S12_Ms5-2,S12_Ms5-3,S12_Ms5-4,S12_Ms5-5,S16_Ms6-1,S16_Ms6-2,S16_Ms6-4,S16_Ms6-5,S16_Ms6-6,T0_Ms1-10,T0_Ms1-7,T0_Ms1-8,T0_Ms1-9,T0_Ms1-5,T2_Ms2-4,T2_Ms2-6,T2_Ms2-8,T2_Ms2-10,T2_Ms2-7,T5_Ms3-4,T5_Ms3-8,T5_Ms3-10,T5_Ms3-7,T5_Ms3-3,T8_Ms4-1,T8_Ms4-2,T8_Ms4-3,T8_Ms4-4,T8_Ms4-6,T12_Ms5-1,T12_Ms5-2,T12_Ms5-3,T12_Ms5-4,T12_Ms5-5,T16_Ms6-1,T16_Ms6-2,T16_Ms6-4,T16_Ms6-5,T16_Ms6-6,L0_Ms1-10,L0_Ms1-7,L0_Ms1-8,L0_Ms1-9,L0_Ms1-5,L2_Ms2-4,L2_Ms2-6,L2_Ms2-8,L2_Ms2-10,L2_Ms2-7,L5_Ms3-4,L5_Ms3-3,L5_Ms3-7,L5_Ms3-8,L5_Ms3-10,L8_Ms4-1,L8_Ms4-2,L8_Ms4-4,L8_Ms4-6,L8_Ms4-3,L12_Ms5-1,L12_Ms5-2,L12_Ms5-3,L12_Ms5-4,L12_Ms5-5,L16_Ms6-1,L16_Ms6-2,L16_Ms6-4,L16_Ms6-5,L16_Ms6-6,B0_Ms1-10,B0_Ms1-7,B0_Ms1-9,B0_Ms1-5,B0_Ms1-8,B2_Ms2-4,B2_Ms2-6,B2_Ms2-10,B2_Ms2-7,B2_Ms2-8,B5_Ms3-4,B5_Ms3-8,B5_Ms3-7,B5_Ms3-3,B5_Ms3-10,B8_Ms4-2,B8_Ms4-1,B8_Ms4-3,B8_Ms4-4,B8_Ms4-6,B12_Ms5-1,B12_Ms5-2,B12_Ms5-4,B12_Ms5-5,B12_Ms5-3,B16_Ms6-1,B16_Ms6-2,B16_Ms6-5,B16_Ms6-6,B16_Ms6-4
A2m,NM_175628.3,23.3,24.74,24.41,16.75,24.83,37.16,23.96,39.04,37.93,47.72,25.86,42.73,24.82,11.63,18.56,11.07,11.32,10.27,9.13,6.57,19.12,32.8,49.99,34.97,9.41,22.01,19.94,14.33,6.46,10.99,9.99,16,17.41,8.79,5.59,7.75,11.08,8.79,7.07,8.53,8.05,13.13,8.31,12.44,15.22,16.45,10.69,13.84,10.1,12.41,10.29,8.89,8.67,7.1,7.72,10.97,8.14,1.99,7.23,13.18,24.27,13.24,14.4,17.22,11.3,33.1,56.36,33.07,23.6,37.01,33.71,29.69,19.91,23.17,22.13,42.65,14.72,16.39,22.01,22.46,14.8,17.84,18.26,9.35,13.9,28.66,26.12,19.1,18.14,22.45,131.76,206.68,166.54,136.41,99.36,85.21,49.82,24.15,59.2,37.91,54.57,33.92,18.61,32.34,27.31,41.8,54.54,48.18,60.38,75.49,64.63,42.22,59.62,82.85,47.92,81.25,100.78,51.88,30.32,36.13
Abca1,NM_013454.3,1103.24,877.47,1249.65,966.58,1056.05,1733.15,1636.94,1579.22,1803.72,2571.56,956.69,1045.63,1085.4,1123.6,813.82,206.96,293.01,227.23,153.68,212.67,475.78,291.56,729.81,618.64,456.39,934.7,764.32,891.88,766.21,850.01,216.75,149.67,288.78,331.81,250.36,414.41,511.75,536.8,289.79,622.01,580.41,1163.32,829.6,491.67,782.3,1197.05,142.71,560.61,675.36,1081.22,310.66,327.79,299.2,281.31,355.12,408.11,521.68,221.28,269.61,471.45,1352.59,1875.51,2032.32,991.41,1502.91,2339.4,2560.86,2324.27,2467.64,3979.59,1557.45,1048.57,1767.73,2459.6,2042.99,1883.04,1077.85,965.68,1932.09,1898.86,1173.94,1428.41,2002.46,1352.51,1529.14,1930.65,2023.9,1730.58,1582.92,1148.17,434.98,401.73,309.29,285.67,443.97,687.38,656.94,333.06,581.86,495.51,262.42,298.49,211.93,226.39,388.82,183.45,311.65,325.22,241.52,270.18,232.08,255.26,240.6,368.48,294.65,372.39,475.51,426.72,427.98,489.11
Abcb1a,NM_011076.1,207.37,192.24,274.65,216.52,179.75,327.01,340.16,267.92,321.69,312.24,292.29,301.8,395.76,318.7,254.01,36.68,63.93,47.14,29.42,35.87,76.48,54.67,147.46,115.66,85.87,245.05,169.48,181.9,154.96,180.75,13.07,11.43,17.41,6.59,11.89,14.47,6.16,12.64,7.61,11.94,12.08,17.83,12.14,10.78,10.15,22.5,5.34,17.3,20.2,13.6,10.29,11.5,12.23,9.47,11.38,19.75,26.93,10.94,13.55,23.49,134.11,205.15,179.28,161.47,172.89,211.04,292.37,246.62,221.06,282.16,179.34,214.94,242.86,249.37,183.16,187.99,176.66,164.95,168.35,209.11,135.64,229.36,152.63,172.44,183.03,204.17,272.01,236.31,195.03,182.81,50.54,40.04,35.69,38.52,30.18,58.23,53.51,34.32,42.29,51.45,25.55,17.44,16.54,25.15,22.49,46.44,62.33,60.23,49.4,59.6,44.07,28.79,25.55,21.8,37.27,29.34,25.55,27.53,39.65,19.36
Abcg1,NM_009593.1,1262.84,1077.33,1350.36,1075.44,1356.43,2263.8,2480.16,2291.42,2045.34,3329.67,1458.08,1601.16,1837.73,1583.04,1541.66,332.24,505.44,339.63,257.65,326.33,707.48,517.51,1089.71,922.58,712.81,1320.61,1137.62,1244.66,1083.67,1038.09,122.21,67.41,238.6,149.42,86.02,79.06,84.37,112.09,55.46,187.63,96.06,167.93,116.32,51.41,121.76,169.65,70.55,322.69,210.87,120.59,87.09,83.12,197.77,131.66,101.58,289.63,233.6,91.5,112,186.75,1384.52,1503.59,1853.04,1155.03,1633.99,3013.9,3406.26,2785.82,2487.51,4443.7,1978.17,1638.76,1840.73,2470.5,2242.13,1856.18,1351.25,1802.46,1779.28,2158.5,1425.5,1734.23,2550.37,1478.2,1852.34,1794.54,1781.1,1281.83,1818.77,1161,481.91,537.36,518.13,516.77,616.28,923.14,1026,572.05,1163.72,1008.62,268.23,350.83,359.77,269.52,385.61,685.05,779.12,782.93,680.64,758.88,1301.43,646.79,864.47,1018.23,892.81,681.58,495.38,476.48,457.13,471.04
Abl1,NM_009594.4,503.27,372.12,418.08,449.79,561.73,787.8,598.88,739.13,717.84,891.73,554.23,555.53,709.23,572.27,445.5,192.42,271.7,246.56,179.55,209.13,312.68,275.16,437.38,330.84,261.13,561.99,445.3,476.26,394.94,456.76,318.98,250.21,236.55,261.49,316.1,321.4,344.24,303.84,313.71,331.47,306.6,260.81,286.97,249.57,294.25,309.86,290.77,274.25,252.44,310.95,306.54,287.01,285.95,292.21,275.48,301.33,238.61,295.87,270.06,307.04,284.82,303.1,236.86,254.04,282.5,321.39,392.76,283.82,315.44,356.17,326.32,283.81,305.24,381.55,325.75,361.76,279.71,228.31,318.56,380.33,270.06,309.64,266.13,244.12,264.12,349.24,339.62,276.89,255.5,285.44,310.44,324.22,363.48,372.33,352.16,409.02,507.47,291.11,531.12,431.88,217.13,272.33,317.38,251.55,326.16,322.78,389.56,521.95,351.3,357.59,646.31,445.26,489.73,468.78,509.42,512.32,323.63,258.36,293.87,274.88
Ada,NM_007398.3,119.99,197.95,160.21,120.82,137.18,291.34,212.4,189.83,234.6,256.34,263.06,213.67,292.57,286.13,234.47,80.29,74.58,62.85,64.41,68.7,116.98,96.58,189.95,137.18,134.09,123.26,131.82,159.85,128.06,123.35,75.33,70.84,86.02,82.4,51.75,188.09,160.73,160.44,122.87,180.24,144.96,157.61,168.09,181.58,134.95,154.07,77.5,95.16,115.23,106.41,63.09,69.53,70.85,77.2,78.42,90.69,87.68,56.69,77.23,81.34,108.56,172.07,126.94,134.56,145.77,219.32,163.8,158.44,145.3,186.57,169.9,155.56,157.93,175.78,142.59,156.39,272.35,199.91,119.14,137.54,177.57,194.96,208.73,277.36,203.88,241.78,93.74,183.8,184.45,304.68,171.47,173.09,157.29,168.51,154.7,235.76,204.83,247.89,235.11,219.32,240.36,229.69,243.98,264.13,425.77,229.9,319.44,273.02,356.79,361.56,123.39,147.78,166.08,176.61,154.42,119.62,163.24,166.24,148.1,135.51
Adora2a,NM_009630.2,117.66,86.61,144.95,106.47,99.34,126.34,209.21,115.78,103.95,124.08,88.81,120.19,116.25,103.52,125.05,31.84,47.95,38.07,28.91,38.9,57.36,45.56,67.48,53.79,52.93,110.05,80.86,100.32,88.24,92.82,10.76,11.43,14.34,9.89,12.59,12.92,8.62,11.54,10.87,9.1,12.66,15.95,12.14,6.63,15.22,18.18,14.97,31.14,14.85,10.05,13.72,11.5,8.67,8.52,11.38,24.14,18.16,10.94,11.29,17.76,174.98,150.89,130.86,118.41,155.94,153.11,200.78,155.69,145.3,188.11,167.21,156.75,134.04,171.7,184.39,124.8,126.19,169.32,155.4,159.99,176.34,165.65,187.85,155.82,140.17,186.26,172.12,155.16,178.4,179.6,55.95,42.63,40.97,35.31,30.18,110.78,101.49,53.39,87.96,66.34,30.19,31.01,32.05,14.37,20.89,37.16,54.54,56.21,32.93,47.68,70.51,42.22,57.49,52.33,69.22,36.11,44,31.77,59.47,47.75
Aicda,NM_009645.2,45.43,98.03,53.4,35.89,42.57,16.35,19.16,25.58,16.86,28.63,14.61,14.69,20.9,12.79,22.47,11.77,13.32,8.46,5.58,7.58,22.5,23.69,19.99,21.52,7.06,41.09,33.23,31.97,17.22,21.98,6.92,19.42,15.36,10.99,10.49,8.27,4.31,7.69,7.07,5.12,1.73,8.44,10.87,7.46,14.21,12.12,7.48,10.38,5.35,2.36,9.6,4.71,4.08,2.37,2.44,10.24,5.64,2.98,1.81,5.73,76.63,101.92,14.4,43.06,77.97,22.07,17.61,12.4,12.42,21.59,32.36,16.63,21.23,12.26,17.21,31.59,228.19,105.96,12.95,9.82,115.91,137.62,139.59,320.99,111.21,112.83,29.2,190.96,145.14,336.75,23.46,12.92,15.86,24.07,20.12,24.14,23.99,15.25,18.61,13.54,16.26,1.94,6.2,17.97,19.28,18.58,23.37,24.09,10.98,31.79,52.88,30.71,17.03,23.98,31.95,36.11,22.71,16.94,27.99,24.52
Aire,NM_009646.1,44.27,31.41,35.09,29.91,34.3,46.08,38.33,35,51.98,28.63,34.85,32.05,36.57,27.92,29.31,17.3,17.98,15.71,6.59,14.14,35.99,43.73,82.48,61.86,31.76,51.36,44.31,58.43,34.44,36.64,14.6,29.71,17.41,9.89,18.18,12.92,16.63,15.93,10.33,13.65,9.2,10.32,12.78,18.24,23.34,24.24,18.17,22.49,11.88,24.24,30.17,15.68,20.39,13.26,13.41,17.55,16.91,11.93,16.26,16.04,57.48,42.35,45.8,34.45,54.24,51.04,59.88,62,86.93,84.8,51.24,42.75,47.78,51.78,52.86,88.46,48.37,86.3,64.75,74.38,102.35,76.45,84.79,64.41,81.09,111.04,72.23,42.97,61.99,67.35,39.71,23.25,23.79,35.31,17.61,42.61,57.21,34.32,33.83,27.08,34.83,21.32,13.44,37.73,36.95,53.41,241.53,112.42,120.76,103.3,76.38,55.66,44.71,56.69,47.92,49.65,21.29,14.82,18.66,34.84
Akt3,NM_011785.3,714.13,539.62,773.59,714.17,575.92,431.06,412.03,515.64,598.43,439.05,493.52,567.55,556.41,519.92,410.33,302.48,287.68,313.64,222.15,235.4,376.8,280.62,419.89,368.49,339.94,661.77,593.73,608.55,520.85,616.75,380.47,347.32,365.58,381.25,374.84,305.9,349.79,325.27,290.33,303.05,288.19,338.68,290.17,244.59,313.53,329.77,307.34,411.8,384.31,328.09,326.43,301.65,379.74,335.78,268.98,413.97,428.37,306.31,353.61,399.85,688.43,745.18,821.83,740.6,703.99,536.57,477.3,549.72,658.2,505.74,500.27,431.07,516.25,581.86,492.92,492.88,486.87,441.33,481.73,607.69,464.89,531.35,584.43,509.01,549.1,639.37,690,723.26,651.61,731.24,424.15,404.31,393.88,388.38,423.85,441.69,315.55,306.37,424.56,422.4,313.51,266.51,181.95,265.92,310.09,294.92,280.48,417.56,428.15,389.37,305.53,289.81,370.49,355.4,314.17,277.6,485.45,425.66,467.62,428.46
