Gene,NM_ID,S0_Ms1-10,S0_Ms1-7,S0_Ms1-8,S0_Ms1-9,S0_Ms1-5,S2_Ms2-4,S2_Ms2-6,S2_Ms2-8,S2_Ms2-10,S2_Ms2-7,S5_Ms3-4,S5_Ms3-3,S5_Ms3-7,S5_Ms3-8,S5_Ms3-10,S8_Ms4-1,S8_Ms4-2,S8_Ms4-3,S8_Ms4-4,S8_Ms4-6,S12_Ms5-1,S12_Ms5-2,S12_Ms5-3,S12_Ms5-4,S12_Ms5-5,S16_Ms6-1,S16_Ms6-2,S16_Ms6-4,S16_Ms6-5,S16_Ms6-6,T0_Ms1-10,T0_Ms1-7,T0_Ms1-8,T0_Ms1-9,T0_Ms1-5,T2_Ms2-4,T2_Ms2-6,T2_Ms2-8,T2_Ms2-10,T2_Ms2-7,T5_Ms3-4,T5_Ms3-8,T5_Ms3-10,T5_Ms3-7,T5_Ms3-3,T8_Ms4-1,T8_Ms4-2,T8_Ms4-3,T8_Ms4-4,T8_Ms4-6,T12_Ms5-1,T12_Ms5-2,T12_Ms5-3,T12_Ms5-4,T12_Ms5-5,T16_Ms6-1,T16_Ms6-2,T16_Ms6-4,T16_Ms6-5,T16_Ms6-6,L0_Ms1-10,L0_Ms1-7,L0_Ms1-8,L0_Ms1-9,L0_Ms1-5,L2_Ms2-4,L2_Ms2-6,L2_Ms2-8,L2_Ms2-10,L2_Ms2-7,L5_Ms3-4,L5_Ms3-3,L5_Ms3-7,L5_Ms3-8,L5_Ms3-10,L8_Ms4-1,L8_Ms4-2,L8_Ms4-4,L8_Ms4-6,L8_Ms4-3,L12_Ms5-1,L12_Ms5-2,L12_Ms5-3,L12_Ms5-4,L12_Ms5-5,L16_Ms6-1,L16_Ms6-2,L16_Ms6-4,L16_Ms6-5,L16_Ms6-6,B0_Ms1-10,B0_Ms1-7,B0_Ms1-9,B0_Ms1-5,B0_Ms1-8,B2_Ms2-4,B2_Ms2-6,B2_Ms2-10,B2_Ms2-7,B2_Ms2-8,B5_Ms3-4,B5_Ms3-8,B5_Ms3-7,B5_Ms3-3,B5_Ms3-10,B8_Ms4-2,B8_Ms4-1,B8_Ms4-3,B8_Ms4-4,B8_Ms4-6,B12_Ms5-1,B12_Ms5-2,B12_Ms5-4,B12_Ms5-5,B12_Ms5-3,B16_Ms6-1,B16_Ms6-2,B16_Ms6-5,B16_Ms6-6,B16_Ms6-4
A2m,NM_175628.3,4.54225805,4.628773595,4.60940039,4.06608919,4.634012356,5.215678597,4.582556003,5.286881148,5.245267467,5.576522138,4.69265037,5.417177412,4.63343121,3.539779192,4.214124805,3.468583317,3.500802053,3.360364277,3.19061486,2.715893371,4.257010618,5.03562391,5.643567622,5.128045891,3.234194723,4.46008724,4.317593505,3.840966704,2.691534165,3.458119481,3.320484678,4,4.121844298,3.135863165,2.482848283,2.95419631,3.469885976,3.135863165,2.821710215,3.092545742,3.008988783,3.714795011,3.054848477,3.63691458,3.927896454,4.040015679,3.418189948,3.790772038,3.336283388,3.63343121,3.363171077,3.152183419,3.116031993,2.827819025,2.948600847,3.455491621,3.025028794,0.992768431,2.853995647,3.720278465,4.601102203,3.726831217,3.847996907,4.106013238,3.498250868,5.048759312,5.816599707,5.04745114,4.560714954,5.209843231,5.075104722,4.891905188,4.315421316,4.534186139,4.467931546,5.414473836,3.879705766,4.034743949,4.46008724,4.489286023,3.887525271,4.15704371,4.19061486,3.224966365,3.797012978,4.840966704,4.707082992,4.255500733,4.181102551,4.48864354,7.04176865,7.691254979,7.379724919,7.0918056,6.634593268,6.412950846,5.638653116,4.593951284,5.887525271,5.244506551,5.770036139,5.084064265,4.21800615,5.015247774,4.771357409,5.385431037,5.769242795,5.590362488,5.915998852,6.238213641,6.014132087,5.399854674,5.89772447,6.372429792,5.582556003,6.344295908,6.655065551,5.697106574,4.922197848,5.17512535
Abca1,NM_013454.3,10.10753096,9.777205991,10.28730837,9.916745333,10.04446243,10.75918081,10.67678573,10.62499645,10.81675968,11.3284281,9.901907708,10.03015672,10.0840111,10.13391281,9.668565926,7.693208149,8.194806092,7.828009509,7.263785614,7.732472726,8.894150817,8.187648995,9.511377109,9.272956308,8.834123371,9.868359584,9.578032972,9.800705802,9.581596045,9.731336004,7.759888183,7.225641265,8.173827019,8.374213556,7.967860271,8.694915006,8.999295387,9.068240861,8.178864001,9.280793964,9.180928566,10.18403229,9.696272084,8.941546519,9.611578155,10.2252677,7.156942621,9.130853669,9.399512924,10.07844439,8.279192684,8.356628032,8.224966365,8.136017028,8.472162804,8.672814251,9.027021315,7.789729251,8.074730198,8.880960963,10.40150888,10.87306724,10.98891186,9.953338001,10.5535429,11.19192285,11.32241267,11.18256195,11.26891622,11.95840409,10.60497013,10.03420746,10.78768222,11.264208,10.99646643,10.87884793,10.0739407,9.915401388,10.91594658,10.89091783,10.19714296,10.48019442,10.96755771,10.40142355,10.57850478,10.91487093,10.98292229,10.75703992,10.62837263,10.16512055,8.764805258,8.650082391,8.272816379,8.158205728,8.794318384,9.424964065,9.359617801,8.379638289,9.184528261,8.952770363,8.035733867,8.221538789,7.727444014,7.822666423,8.60295862,7.519243094,8.283782903,8.345272171,7.915998852,8.077777073,7.85847839,7.995823671,7.910492832,8.525442506,8.202858456,8.540670522,8.893331871,8.73714592,8.741399569,8.934015151
Abcb1a,NM_011076.1,7.696063386,7.586764743,8.101450482,7.758356483,7.48984796,8.353190944,8.410069692,8.065658471,8.329527279,8.286511558,8.191256661,8.237448996,8.628481994,8.316055209,7.988741485,5.196921734,5.998421189,5.558879853,4.878725341,5.16470584,6.257010618,5.77267747,7.204179852,6.853746197,6.424082287,7.936932337,7.404971224,7.507001733,7.275752049,7.497851837,3.708187236,3.514753498,4.121844298,2.720278465,3.57167681,3.854993017,2.622930351,3.659924558,2.927896454,3.577730931,3.59454855,4.156234798,3.601696516,3.430285273,3.343407822,4.491853096,2.416839742,4.112700133,4.336283388,3.765534746,3.363171077,3.523561956,3.612352499,3.243364426,3.508428653,4.303780748,4.751142325,3.451540833,3.760220946,4.553974808,7.067273007,7.680535344,7.486070744,7.335122337,7.433710615,7.721372659,8.191651474,7.946145992,7.788294188,8.140369671,7.486553493,7.747790181,7.923981082,7.962144105,7.51696066,7.554512111,7.464831606,7.365884968,7.395319911,7.708118246,7.083638879,7.841469999,7.253894747,7.429950657,7.515936326,7.673627087,8.087515881,7.884536871,7.60755225,7.51420118,5.659353759,5.323370069,5.157447996,5.267535798,4.915520901,5.863690714,5.741736624,5.100977648,5.402244655,5.685099172,4.675251386,4.124328135,4.047887329,4.652486495,4.491211756,5.537296067,5.961854808,5.912410354,5.626439137,5.897240426,5.461724992,4.847495884,4.675251386,4.44625623,5.219942914,4.874796966,4.675251386,4.782932705,5.309248961,4.275007047
Abcg1,NM_009593.1,10.30245615,10.07324452,10.39912836,10.07071132,10.40559888,11.14453079,11.27621748,11.1620262,10.99812497,11.70116349,10.50985416,10.64490176,10.84370911,10.62848199,10.59026891,8.376081967,8.981396032,8.40782009,8.009268782,8.350187812,9.466545554,9.01544293,10.08972853,9.849530207,9.477373766,10.36698876,10.15180302,10.28153598,10.08170978,10.01971581,6.93321853,6.07489072,7.898450233,7.223229457,6.426600226,6.30487605,6.398658196,6.808513765,5.793375711,7.551746707,6.585863903,7.391716175,6.861955364,5.683977107,6.927896454,7.40641762,6.140574178,8.33400506,7.720210051,6.913966466,6.444435168,6.377123749,7.627679788,7.040673293,6.666472569,8.178067235,7.867896464,6.515699838,6.807354922,7.544964433,10.43517018,10.55419551,10.85567831,10.17371461,10.67418344,11.55741583,11.73397284,11.44388633,11.28048661,12.11754571,10.9499507,10.67838887,10.84606231,11.27058734,11.13065421,10.8581209,10.4000789,10.81575153,10.79707785,11.07581338,10.47725232,10.76007953,11.31649085,10.52962576,10.85513322,10.80939837,10.7985528,10.32398922,10.8287474,10.18115226,8.912619928,9.069745124,9.017170309,9.01337851,9.267442162,9.850405648,10.00281502,9.159997441,10.18452826,9.978167023,8.067326793,8.45462831,8.49093108,8.074248523,8.590998655,9.42006548,9.605701739,9.612739515,9.410748128,9.567727963,10.345882,9.337153563,9.755672088,9.991847762,9.802209376,9.412739192,8.952391814,8.896271849,8.836460691,8.879705766
Abl1,NM_009594.4,8.975188791,8.539624122,8.70763522,8.813107776,9.133733044,9.621685607,9.226123143,9.529684321,9.487518506,9.800463144,9.114340995,9.117721013,9.470109752,9.160552169,8.799281622,7.588114949,8.085870755,7.945794957,7.488241843,7.708256223,8.288543133,8.104126951,8.772743442,8.369989863,8.028624401,9.134400649,8.798633802,8.895605575,8.625489683,8.835292504,8.31732216,7.96699564,7.886001351,8.030611965,8.304237225,8.328226119,8.427270935,8.247168,8.293287708,8.372734494,8.260213887,8.026855376,8.164756114,7.963300713,8.200898605,8.275472718,8.183734618,8.09934781,7.979796718,8.280538807,8.259931531,8.164957194,8.159619095,8.190861741,8.105803772,8.235200503,7.898510697,8.20881961,8.07713616,8.262282806,8.153906645,8.243650042,7.887890772,7.988911865,8.142107057,8.32818123,8.617504198,8.148832445,8.301221805,8.476422194,8.350143602,8.148781613,8.253800221,8.575728316,8.347621369,8.498889087,8.127788023,7.834850241,8.315421316,8.571107931,8.07713616,8.274448044,8.05598734,7.931446685,8.045049741,8.448074996,8.407777611,8.113169141,7.997179481,8.15704371,8.27817065,8.340829278,8.505732174,8.540438054,8.46008724,8.676027579,8.987178727,8.185420589,9.052894047,8.754486698,7.762415261,8.089212109,8.310067408,7.974701379,8.349436052,8.334407379,8.605701739,9.027767801,8.456559766,8.482162582,9.336082504,8.798504203,8.935842765,8.87276721,8.992711791,9.000901403,8.338201539,8.013238915,8.199034277,8.102658131
Ada,NM_007398.3,6.906770366,7.628992257,7.323820391,6.916715481,7.099926351,8.186559982,7.730639956,7.568564198,7.874059203,8.001914808,8.039248084,7.739240553,8.192638034,8.160526958,7.873259534,6.327148408,6.220716892,5.97384084,6.009212787,6.102238194,6.870118084,6.593652558,7.569475902,7.099926351,7.067057839,6.945560886,7.042425465,7.320574934,7.000676105,6.946613905,6.235152624,6.146492307,6.426600226,6.364572432,5.693486957,7.555279338,7.328495421,7.325890061,6.940988899,7.493775408,7.17951105,7.300215263,7.393090088,7.504461497,7.076281167,7.267442162,6.276124405,6.572283367,6.848372559,6.733489926,5.979339446,6.119563684,6.146695948,6.270528942,6.293149737,6.502871575,6.454175893,5.825022364,6.271089466,6.345893086,6.762348816,7.426851779,6.988002938,7.0721058,7.187550028,7.776893569,7.355791547,7.307792796,7.182890893,7.543573213,7.408542042,7.28132733,7.303141438,7.457627122,7.155728997,7.289004456,8.089318057,7.643206831,6.896514054,7.10370744,7.472244052,7.607034346,7.705494158,8.115615931,7.671576448,7.9175511,6.55059289,7.521992956,7.527085979,8.251150991,7.421812378,7.435378567,7.297283141,7.396690399,7.273329387,7.881175155,7.678283222,7.953556263,7.877192093,7.776893569,7.909053017,7.843544237,7.930619079,8.045104363,8.73393049,7.844862656,8.319401167,8.092862829,8.47893137,8.498091269,6.947081667,7.207307223,7.375734539,7.464423223,7.270715808,6.902314812,7.350850805,7.377123749,7.21042783,7.082255509
Adora2a,NM_009630.2,6.878480131,6.436461703,7.179411523,6.73430317,6.634302842,6.981167667,7.708808002,6.855242251,6.699745948,6.955126781,6.472650228,6.909173056,6.861086906,6.693765712,6.966361247,4.992768431,5.58345891,5.250582665,4.853496704,5.28169825,5.841973119,5.509695842,6.076388069,5.749266084,5.726013749,6.782015335,6.337354298,6.648465443,6.463360886,6.536363792,3.427606173,3.514753498,3.841973119,3.305970521,3.654206378,3.691534165,3.107687869,3.528571319,3.442280035,3.185866545,3.6622055,3.995484519,3.601696516,2.72900887,3.927896454,4.184280294,3.904002316,4.960697039,3.892391026,3.329123596,3.778208576,3.523561956,3.116031993,3.09085343,3.508428653,4.593353771,4.182692298,3.451540833,3.496973581,4.150559677,7.451046223,7.237353386,7.031880366,6.887647115,7.284847229,7.258424702,7.649471757,7.282532473,7.182890893,7.555432735,7.38551732,7.292321633,7.066519781,7.423746229,7.526616606,6.963474124,6.979453777,7.403608584,7.279842694,7.321837924,7.462215955,7.371994393,7.553437306,7.28373661,7.131033798,7.541174073,7.427270935,7.277612871,7.478971805,7.48864354,5.806066226,5.41379715,5.356495988,5.142004916,4.915520901,6.791553633,6.665193773,5.738497644,6.458775699,6.051807107,4.915998852,4.954661621,5.002252452,3.844988157,4.384740587,5.215678597,5.769242795,5.81275491,5.041330607,5.575312331,6.139755975,5.399854674,5.845239126,5.709566354,6.113117036,5.174326515,5.459431619,4.989593185,5.894090171,5.577428828
Aicda,NM_009645.2,5.5055734,6.615151418,5.738767837,5.165510018,5.411765185,4.031218731,4.260025656,4.676944359,4.075532631,4.839455765,3.868884273,3.876762491,4.385431037,3.676944359,4.489928219,3.557042415,3.735522177,3.080657663,2.480265122,2.922197848,4.491853096,4.566206293,4.321206567,4.427606173,2.819668183,5.360715425,5.054414388,4.998646839,4.106013238,4.458119481,2.790772038,4.279471296,3.941106311,3.458119481,3.390942773,3.047887329,2.107687869,2.942983598,2.821710215,2.35614381,0.790772038,3.077242999,3.442280035,2.89917563,3.828834649,3.599317794,2.90303827,3.375734539,2.419538892,1.23878686,3.263034406,2.23572706,2.028569152,1.244887059,1.286881148,3.35614381,2.495695163,1.575312331,0.855989697,2.518535139,6.259837401,6.671293372,3.847996907,5.428276414,6.284847229,4.464014725,4.138323004,3.632268215,3.634593268,4.432291338,5.016139703,4.055716264,4.408032466,3.615887074,4.105175192,4.981396032,7.834091759,6.727375939,3.694880193,3.295723025,6.856861228,7.104546339,7.125051783,8.326384543,6.797142711,6.818006902,4.867896464,7.577126661,7.181301365,8.395534135,4.552131108,3.691534165,3.987320866,4.589164237,4.3305584,4.593353771,4.584361253,3.930737338,4.21800615,3.759155834,4.023255352,0.956056652,2.632268215,4.167518504,4.269033146,4.215678597,4.546585829,4.590362488,3.456806149,4.990501111,5.724650272,4.940636607,4.09000653,4.583759754,4.997744026,5.174326515,4.505255801,4.08236197,4.806839582,4.615887074
Aire,NM_009646.1,5.468257468,4.973152038,5.132988043,4.902556005,5.100136671,5.526068812,5.260402093,5.129283017,5.699884729,4.839455765,5.123086751,5.002252452,5.192588722,4.803227036,4.873321063,4.112700133,4.168321116,3.973611276,2.720278465,3.821710215,5.169524197,5.450551443,6.365972428,5.950934928,4.989139007,5.682573297,5.469560422,5.868637384,5.106013238,5.195347598,3.867896464,4.8928767,4.121844298,3.305970521,4.184280294,3.691534165,4.055716264,3.993674362,3.368768349,3.770829046,3.201633861,3.367371066,3.675815931,4.189033824,4.544732656,4.599317794,4.183486514,4.491211756,3.570462931,4.599317794,4.915042791,3.970853654,4.34978987,3.72900887,3.745237332,4.133399125,4.079804755,3.576522138,4.023255352,4.003602237,5.844988157,5.404290064,5.517275693,5.106432078,5.761285273,5.673556424,5.904002316,5.95419631,6.44178224,6.40599236,5.679198571,5.417852515,5.578334949,5.69432306,5.72410452,6.466953337,5.596040633,6.431288654,6.016808288,6.216842843,6.677367292,6.256444596,6.405822221,6.009212787,6.341452107,6.794935663,6.174526265,5.425257872,5.953963599,6.073606041,5.311430456,4.539158811,4.572283367,5.142004916,4.138323004,5.413120146,5.838195439,5.100977648,5.080231272,4.759155834,5.122258568,4.414135533,3.748461233,5.237640195,5.207502459,5.739037979,7.916058584,6.81275491,6.915998852,6.690696444,6.255123015,5.798569004,5.482525641,5.825022364,5.582556003,5.633721813,4.412104045,3.889473543,4.221877081,5.122672719
Akt3,NM_011785.3,9.480042916,9.07580001,9.595425335,9.480123722,9.169724613,8.751744884,8.686605574,9.010220373,9.225038691,8.778241436,8.946964741,9.148603686,9.120004539,9.022145843,8.680640826,8.240695944,8.168321116,8.292965755,7.795390331,7.87897051,8.557655155,8.132474024,8.713867619,8.525481658,8.40913632,9.370186081,9.213663201,9.249231993,9.024724139,9.268542,8.571638892,8.440121679,8.514043336,8.574593527,8.550131104,8.256916297,8.450345235,8.345493957,8.181549844,8.243412032,8.170876466,8.403778984,8.18075456,7.934221611,8.292459683,8.365316349,8.263691734,8.68580002,8.586126707,8.357947812,8.350629842,8.236731772,8.568868163,8.391372492,8.071355095,8.693382411,8.742713637,8.258848657,8.466015264,8.643315078,9.427166157,9.541445144,9.682696185,9.532550739,9.459411126,9.067622585,8.898752526,9.102553158,9.362382216,8.982252078,8.96656313,8.751778352,9.011926066,9.184528261,8.945209709,8.945092631,8.927392797,8.78571401,8.912080961,9.247191741,8.860745583,9.053518666,9.190886426,8.99155019,9.100925101,9.320507243,9.430452552,9.498370555,9.347864934,9.51420118,8.728430752,8.659318077,8.621612353,8.601325099,8.727409977,8.786890359,8.301724813,8.259131224,8.729824644,8.722466024,8.292367651,8.058045857,7.507398241,8.054848477,8.276543191,8.204179852,8.131754091,8.705839706,8.741972515,8.604997922,8.255170235,8.178963566,8.533290793,8.473299871,8.295401614,8.116863758,8.923178899,8.733557714,8.869192825,8.743016714
